Habitat,ThreatName,ThreatCategory,AverageThreatMetric,Rank
Desert,C_01,climate,0.19867080726425118,10
Desert,C_02,climate,0.20247210412810265,9
Desert,C_03,climate,0.19184882688585886,12
Desert,C_04,climate,0.196050793154367,11
Desert,C_05,climate,0.21095746856742031,8
Desert,F_01,fishing,0.14328697163939516,23
Desert,F_02,fishing,0.18718349772278292,13
Desert,F_03,fishing,0.18267744725994378,15
Desert,F_04,fishing,0.15458547638972997,21
Desert,F_05,fishing,0.17408558570232496,18
Desert,F_06,fishing,0.1581810212858232,20
Desert,HD_01,habitat degradation,0.2546295836710969,5
Desert,HD_02,habitat degradation,0.2325784340210525,7
Desert,HD_03,habitat degradation,0.26729848556535657,4
Desert,HD_04,habitat degradation,0.24549349674249404,6
Desert,IS_01,invasive species,0.31384384988640457,3
Desert,IS_02,invasive species,0.345458826770586,1
Desert,IS_03,invasive species,0.3406973233430094,2
Desert,P_01,pollution,0.16591801984505322,19
Desert,P_02,pollution,0.14550561140148147,22
Desert,P_03,pollution,0.17875238481543662,17
Desert,P_04,pollution,0.18219981997368787,16
Desert,P_05,pollution,0.14261530842337816,24
Desert,P_06,pollution,0.18500885554096266,14
Forest,C_01,climate,0.20861009082909637,10
Forest,C_02,climate,0.1821384295928521,13
Forest,C_03,climate,0.18191466906943424,14
Forest,C_04,climate,0.2174994949422218,8
Forest,C_05,climate,0.20983731556639548,9
Forest,F_01,fishing,0.19102331353084379,12
Forest,F_02,fishing,0.15576290254260847,21
Forest,F_03,fishing,0.16333434509305378,19
Forest,F_04,fishing,0.16933459270665738,17
Forest,F_05,fishing,0.166249044862392,18
Forest,F_06,fishing,0.1542958012644446,22
Forest,HD_01,habitat degradation,0.22854049980529412,7
Forest,HD_02,habitat degradation,0.252403465003211,6
Forest,HD_03,habitat degradation,0.2597443156448079,4
Forest,HD_04,habitat degradation,0.259311719546687,5
Forest,IS_01,invasive species,0.3164096292196868,3
Forest,IS_02,invasive species,0.34635690600946806,1
Forest,IS_03,invasive species,0.33723346477084515,2
Forest,P_01,pollution,0.156448892997228,20
Forest,P_02,pollution,0.17361304805179453,15
Forest,P_03,pollution,0.14317096596751075,24
Forest,P_04,pollution,0.20743690048634336,11
Forest,P_05,pollution,0.17012846557130906,16
Forest,P_06,pollution,0.1492017269258143,23
Grassland,C_01,climate,0.19676649657813658,9
Grassland,C_02,climate,0.24490180041437792,6
Grassland,C_03,climate,0.18302137108720867,14
Grassland,C_04,climate,0.18556383992038725,12
Grassland,C_05,climate,0.18974649199988958,10
Grassland,F_01,fishing,0.14785081057867636,22
Grassland,F_02,fishing,0.18411688375534083,13
Grassland,F_03,fishing,0.17467480797422788,15
Grassland,F_04,fishing,0.14503069979470717,24
Grassland,F_05,fishing,0.17395890257271807,17
Grassland,F_06,fishing,0.1743678953243297,16
Grassland,HD_01,habitat degradation,0.2793882901975099,4
Grassland,HD_02,habitat degradation,0.2560291916433565,5
Grassland,HD_03,habitat degradation,0.2365253986857398,7
Grassland,HD_04,habitat degradation,0.2280571194733938,8
Grassland,IS_01,invasive species,0.3137512623078144,3
Grassland,IS_02,invasive species,0.32527019746759794,2
Grassland,IS_03,invasive species,0.36097854022458764,1
Grassland,P_01,pollution,0.14622021893971368,23
Grassland,P_02,pollution,0.1724822385859935,18
Grassland,P_03,pollution,0.16866480831270556,19
Grassland,P_04,pollution,0.18558294728661331,11
Grassland,P_05,pollution,0.16240487822569113,21
Grassland,P_06,pollution,0.16464490864928283,20
Urban,C_01,climate,0.22657240332342385,7
Urban,C_02,climate,0.16746491234259567,18
Urban,C_03,climate,0.2087119094464532,10
Urban,C_04,climate,0.2171994795303113,8
Urban,C_05,climate,0.18005129535721598,12
Urban,F_01,fishing,0.15424237693049825,23
Urban,F_02,fishing,0.16459608828182007,19
Urban,F_03,fishing,0.17483763936333174,16
Urban,F_04,fishing,0.1821553409247269,11
Urban,F_05,fishing,0.16174898614675215,22
Urban,F_06,fishing,0.1624195683528709,20
Urban,HD_01,habitat degradation,0.2130713444117546,9
Urban,HD_02,habitat degradation,0.28516320409607304,3
Urban,HD_03,habitat degradation,0.2657071988069754,5
Urban,HD_04,habitat degradation,0.236058252685197,6
Urban,IS_01,invasive species,0.3666360983468201,1
Urban,IS_02,invasive species,0.2847307189505403,4
Urban,IS_03,invasive species,0.3486331827026396,2
Urban,P_01,pollution,0.13855100945208781,24
Urban,P_02,pollution,0.17515193719969044,15
Urban,P_03,pollution,0.16207947195695913,21
Urban,P_04,pollution,0.1766239182423645,14
Urban,P_05,pollution,0.1688442486805901,17
Urban,P_06,pollution,0.17874941446830805,13
Wetland,C_01,climate,0.21941895827875182,8
Wetland,C_02,climate,0.1765276395582598,16
Wetland,C_03,climate,0.19705382864453333,10
Wetland,C_04,climate,0.21230932218345996,9
Wetland,C_05,climate,0.19469025133499504,12
Wetland,F_01,fishing,0.177787887218319,15
Wetland,F_02,fishing,0.17431354195517842,17
Wetland,F_03,fishing,0.14431302308063804,24
Wetland,F_04,fishing,0.16713730381243458,18
Wetland,F_05,fishing,0.182393122701488,13
Wetland,F_06,fishing,0.15405512123194193,21
Wetland,HD_01,habitat degradation,0.22907368598993572,7
Wetland,HD_02,habitat degradation,0.2581591615787084,5
Wetland,HD_03,habitat degradation,0.22933151175309738,6
Wetland,HD_04,habitat degradation,0.28343564067825855,3
Wetland,IS_01,invasive species,0.36981781884801807,1
Wetland,IS_02,invasive species,0.28311516021989924,4
Wetland,IS_03,invasive species,0.3470670209320827,2
Wetland,P_01,pollution,0.19555835575899463,11
Wetland,P_02,pollution,0.1620558657367541,19
Wetland,P_03,pollution,0.1534315981200468,22
Wetland,P_04,pollution,0.18235176955467247,14
Wetland,P_05,pollution,0.15676796409916396,20
Wetland,P_06,pollution,0.14983444673036805,23
