Habitat,ThreatCode,AverageThreatMetric,Threat,ThreatCategory,Rank
Large lakes,AgEff,2.1140191168258546,Agricultural effluents,Pollution,17
Large lakes,AgUse,2.7711189221159636,Agricultural extraction,Habitat,12
Large lakes,AqEff,2.440821778434356,Aquaculture effluents,Pollution,15
Large lakes,Dams,1.7949111801459146,Dams,Habitat,21
Large lakes,Defor,1.9737570299751332,Deforestation and associated runoff,Habitat,20
Large lakes,Drght,2.445412074956739,Drought,Climate and weather,14
Large lakes,OvrFsh,2.0734340826379127,Overfishing,Exploitation,18
Large lakes,FldChg,4.163457947856302,Change in flooding,Climate and weather,3
Large lakes,IceChg,5.353536906883928,Change in ice cover,Climate and weather,1
Large lakes,IndEff,3.057440141165492,Industrial effluents,Pollution,9
Large lakes,IndUse,2.5109530166181506,Industrial extraction,Habitat,13
Large lakes,Invasv,4.570230231794904,Invasive non-native species,Invasive species,2
Large lakes,Mining,2.8217341594034147,Mining,Pollution,10
Large lakes,OilGas,2.8109911788668467,Oil or gas exploration,Pollution,11
Large lakes,Pharma,3.0972582788553105,Pharmaceuticals,Pollution,8
Large lakes,Plastic,1.4815621548359093,Plastics,Pollution,22
Large lakes,RipDeg,2.149973141524384,Riparian degradation,Habitat,16
Large lakes,UrbEff,2.0478774686913774,Urban wastewater,Pollution,19
Large lakes,UrbUse,3.108620068285985,Urban extraction,Habitat,7
Large lakes,TmpChg,3.3464759811751614,Change in water temperature,Climate and weather,5
Large lakes,WetLoss,3.429206843249385,Wetland drainage,Habitat,4
Large lakes,WndChg,3.1467246280852903,Change in wind patterns,Climate and weather,6
Large river deltas,AgEff,2.6620426365094825,Agricultural effluents,Pollution,13
Large river deltas,AgUse,1.702134628459989,Agricultural extraction,Habitat,19
Large river deltas,AqEff,4.674356972306991,Aquaculture effluents,Pollution,4
Large river deltas,Dams,0.3689273597554484,Dams,Habitat,21
Large river deltas,Defor,5.330165730661932,Deforestation and associated runoff,Habitat,2
Large river deltas,Drght,3.757366897443977,Drought,Climate and weather,7
Large river deltas,OvrFsh,6.2787582644623665,Overfishing,Exploitation,1
Large river deltas,FldChg,3.122638800856216,Change in flooding,Climate and weather,11
Large river deltas,IceChg,0,Change in ice cover,Climate and weather,22
Large river deltas,IndEff,3.5276725931987687,Industrial effluents,Pollution,8
Large river deltas,IndUse,1.969918836897318,Industrial extraction,Habitat,18
Large river deltas,Invasv,1.2774541146742235,Invasive non-native species,Invasive species,20
Large river deltas,Mining,3.484878226135668,Mining,Pollution,9
Large river deltas,OilGas,2.4549619786305588,Oil or gas exploration,Pollution,15
Large river deltas,Pharma,2.5384614860310215,Pharmaceuticals,Pollution,14
Large river deltas,Plastic,4.543131375433414,Plastics,Pollution,5
Large river deltas,RipDeg,3.2756889789172496,Riparian degradation,Habitat,10
Large river deltas,UrbEff,4.002298191723055,Urban wastewater,Pollution,6
Large river deltas,UrbUse,2.1291509839007787,Urban extraction,Habitat,17
Large river deltas,TmpChg,4.903678902181309,Change in water temperature,Climate and weather,3
Large river deltas,WetLoss,3.1126877927788974,Wetland drainage,Habitat,12
Large river deltas,WndChg,2.172039352099891,Change in wind patterns,Climate and weather,16
Montane freshwaters,AgEff,1.1363698736291747,Agricultural effluents,Pollution,19
Montane freshwaters,AgUse,2.032090837235459,Agricultural extraction,Habitat,9
Montane freshwaters,AqEff,1.3799373609706345,Aquaculture effluents,Pollution,15
Montane freshwaters,Dams,1.9563387518549218,Dams,Habitat,10
Montane freshwaters,Defor,1.2328801638433262,Deforestation and associated runoff,Habitat,17
Montane freshwaters,Drght,4.149483437832635,Drought,Climate and weather,2
Montane freshwaters,OvrFsh,2.270724588128579,Overfishing,Exploitation,7
Montane freshwaters,FldChg,4.043208781859135,Change in flooding,Climate and weather,3
Montane freshwaters,IceChg,4.593056591017697,Change in ice cover,Climate and weather,1
Montane freshwaters,IndEff,1.5978794884624457,Industrial effluents,Pollution,13
Montane freshwaters,IndUse,0.8295191497977641,Industrial extraction,Habitat,21
Montane freshwaters,Invasv,2.140897845917023,Invasive non-native species,Invasive species,8
Montane freshwaters,Mining,1.234453164457141,Mining,Pollution,16
Montane freshwaters,OilGas,1.909945066010751,Oil or gas exploration,Pollution,11
Montane freshwaters,Pharma,2.998437522412737,Pharmaceuticals,Pollution,4
Montane freshwaters,Plastic,2.307813729605036,Plastics,Pollution,6
Montane freshwaters,RipDeg,1.1453432828660073,Riparian degradation,Habitat,18
Montane freshwaters,UrbEff,1.6199504294008087,Urban wastewater,Pollution,12
Montane freshwaters,UrbUse,0.8721873772146597,Urban extraction,Habitat,20
Montane freshwaters,TmpChg,1.444238811827908,Change in water temperature,Climate and weather,14
Montane freshwaters,WetLoss,0.7881073630275929,Wetland drainage,Habitat,22
Montane freshwaters,WndChg,2.9745898254773353,Change in wind patterns,Climate and weather,5
Oceanic islands,AgEff,0.03973775545950521,Agricultural effluents,Pollution,19
Oceanic islands,AgUse,0.2033052853202986,Agricultural extraction,Habitat,16
Oceanic islands,AqEff,1.4285714285714286,Aquaculture effluents,Pollution,5
Oceanic islands,Dams,0,Dams,Habitat,21
Oceanic islands,Defor,0.7156679406645173,Deforestation and associated runoff,Habitat,12
Oceanic islands,Drght,0.24315179945983642,Drought,Climate and weather,15
Oceanic islands,OvrFsh,1.9572238091230074,Overfishing,Exploitation,2
Oceanic islands,FldChg,0.9065482718479798,Change in flooding,Climate and weather,9
Oceanic islands,IceChg,0,Change in ice cover,Climate and weather,22
Oceanic islands,IndEff,0.6753321331824325,Industrial effluents,Pollution,13
Oceanic islands,IndUse,1.0155507233491594,Industrial extraction,Habitat,8
Oceanic islands,Invasv,2.975255964543224,Invasive non-native species,Invasive species,1
Oceanic islands,Mining,0.743502245675825,Mining,Pollution,11
Oceanic islands,OilGas,0.6247709755273585,Oil or gas exploration,Pollution,14
Oceanic islands,Pharma,0.014472771160354815,Pharmaceuticals,Pollution,20
Oceanic islands,Plastic,0.8315117820082809,Plastics,Pollution,10
Oceanic islands,RipDeg,1.7051454193089808,Riparian degradation,Habitat,3
Oceanic islands,UrbEff,1.517525195180034,Urban wastewater,Pollution,4
Oceanic islands,UrbUse,1.0441575981576408,Urban extraction,Habitat,7
Oceanic islands,TmpChg,0.20261396088677627,Change in water temperature,Climate and weather,17
Oceanic islands,WetLoss,1.256939549195122,Wetland drainage,Habitat,6
Oceanic islands,WndChg,0.10162817767686572,Change in wind patterns,Climate and weather,18
Polar freshwaters,AgEff,0.21345157867072442,Agricultural effluents,Pollution,19
Polar freshwaters,AgUse,0.13868630981728536,Agricultural extraction,Habitat,21
Polar freshwaters,AqEff,0.2520621169068196,Aquaculture effluents,Pollution,18
Polar freshwaters,Dams,0.6321143917710346,Dams,Habitat,11
Polar freshwaters,Defor,2.7294978698177883,Deforestation and associated runoff,Habitat,3
